Iterations 	 Error 
0	0.00118998
1	7.11322e-09
2	8.3649e-09
3	9.77313e-09
4	1.13554e-08
5	1.31312e-08
6	1.51219e-08
7	1.73512e-08
8	1.98451e-08
9	2.26324e-08
10	2.57448e-08
11	2.92171e-08
12	3.30878e-08
13	3.73988e-08
14	4.21963e-08
15	4.75309e-08
16	5.34579e-08
17	6.00377e-08
18	6.73358e-08
19	7.5424e-08
20	8.43797e-08
21	9.42868e-08
22	1.05236e-07
23	1.17324e-07
24	1.30655e-07
25	1.4534e-07
26	1.61497e-07
27	1.79249e-07
28	1.98727e-07
29	2.20063e-07
30	2.43396e-07
31	2.68867e-07
32	2.96614e-07
33	3.26775e-07
34	3.59481e-07
35	3.94854e-07
36	4.33e-07
37	4.74006e-07
38	5.17933e-07
39	5.64808e-07
40	6.14619e-07
41	6.67304e-07
42	7.22743e-07
43	7.80751e-07
44	8.41071e-07
45	9.03363e-07
46	9.67201e-07
47	1.03207e-06
48	1.09736e-06
49	1.16239e-06
50	1.22636e-06
51	1.28846e-06
52	1.34777e-06
53	1.40338e-06
54	1.45435e-06
55	1.49979e-06
56	1.53884e-06
57	1.57074e-06
58	1.59485e-06
59	1.61067e-06
60	1.61786e-06
61	1.61628e-06
62	1.60595e-06
63	1.58711e-06
64	1.56015e-06
65	1.52563e-06
66	1.48423e-06
67	1.43676e-06
68	1.38409e-06
69	1.32714e-06
70	1.26684e-06
71	1.20409e-06
72	1.13979e-06
73	1.07475e-06
74	1.00971e-06
75	9.45327e-07
76	8.82182e-07
77	8.20752e-07
78	7.61429e-07
79	7.04522e-07
80	6.50259e-07
81	5.98799e-07
82	5.50239e-07
83	5.0462e-07
84	4.61939e-07
85	4.22155e-07
86	3.85196e-07
87	3.50968e-07
88	3.19357e-07
89	2.90237e-07
90	2.63476e-07
91	2.38934e-07
92	2.16472e-07
93	1.9595e-07
94	1.77231e-07
95	1.60183e-07
96	1.44678e-07
97	1.30596e-07
98	1.17821e-07
99	1.06245e-07
100	9.57667e-08
101	8.62914e-08
102	7.77314e-08
103	7.00052e-08
104	6.30379e-08
105	5.67602e-08
106	5.11086e-08
107	4.60248e-08
108	4.14554e-08
109	3.73516e-08
110	3.36692e-08
111	3.03674e-08
112	2.74095e-08
113	2.47618e-08
114	2.23941e-08
115	2.02786e-08
116	1.83902e-08
117	1.67064e-08
118	1.52065e-08
119	1.38721e-08
120	1.26862e-08
121	1.16337e-08
122	1.0701e-08
123	9.87552e-09
124	9.14626e-09
125	8.50311e-09
126	7.937e-09
127	7.43975e-09
128	7.00402e-09
129	6.62317e-09
130	6.29127e-09
131	6.00294e-09
132	5.75338e-09
133	5.53827e-09
134	5.35373e-09
135	5.19627e-09
136	5.06278e-09
137	4.95045e-09
138	4.85679e-09
139	4.77954e-09
140	4.7167e-09
141	4.66649e-09
142	4.62729e-09
143	4.59768e-09
144	4.57639e-09
145	4.56229e-09
146	4.55436e-09
147	4.55171e-09
148	4.55354e-09
149	4.55915e-09
150	4.56792e-09
151	4.5793e-09
152	4.5928e-09
153	4.60799e-09
154	4.6245e-09
155	4.642e-09
156	4.6602e-09
157	4.67885e-09
158	4.69774e-09
159	4.71669e-09
160	4.73552e-09
161	4.7541e-09
162	4.77232e-09
163	4.79007e-09
164	4.80728e-09
165	4.82387e-09
166	4.8398e-09
