Iterations 	 Error 
0	1680.27
1	0.0047071
2	0.00398293
3	0.00334015
4	0.0027705
5	0.00226653
6	0.00182148
7	0.00142928
8	0.00108444
9	0.000782028
10	0.000517569
11	0.000287049
12	8.68473e-05
13	8.62964e-05
14	0.000235317
15	0.000362854
16	0.000471283
17	0.000562739
18	0.000639139
19	0.000702206
20	0.000753486
21	0.000794365
22	0.000826088
23	0.000849767
24	0.000866399
25	0.000876876
26	0.000881995
27	0.000882467
28	0.000878928
29	0.000871944
30	0.000862017
31	0.000849596
32	0.000835077
33	0.000818815
34	0.000801119
35	0.000782266
36	0.000762498
37	0.00074203
38	0.000721049
39	0.000699718
40	0.000678182
41	0.000656564
42	0.000634973
43	0.000613501
44	0.000592228
45	0.000571222
46	0.000550539
47	0.000530229
48	0.000510331
49	0.000490878
50	0.000471894
51	0.000453402
52	0.000435416
53	0.000417948
54	0.000401003
55	0.000384588
56	0.000368701
57	0.000353343
58	0.000338509
59	0.000324193
60	0.000310389
61	0.000297089
62	0.000284282
63	0.000271958
64	0.000260107
65	0.000248716
66	0.000237774
67	0.000227267
68	0.000217184
69	0.000207511
70	0.000198235
71	0.000189343
72	0.000180823
73	0.000172661
74	0.000164846
75	0.000157364
76	0.000150203
77	0.000143352
78	0.000136798
79	0.00013053
80	0.000124538
81	0.000118809
82	0.000113334
83	0.000108102
84	0.000103103
85	9.83282e-05
86	9.37677e-05
87	8.94127e-05
88	8.52545e-05
89	8.12846e-05
90	7.74951e-05
91	7.38782e-05
92	7.04264e-05
93	6.71325e-05
94	6.39897e-05
95	6.09913e-05
96	5.81309e-05
97	5.54024e-05
98	5.27999e-05
99	5.03178e-05
100	4.79508e-05
101	4.56936e-05
102	4.35413e-05
103	4.14891e-05
104	3.95325e-05
105	3.76672e-05
106	3.5889e-05
107	3.41939e-05
108	3.25781e-05
109	3.1038e-05
110	2.95701e-05
111	2.8171e-05
112	2.68377e-05
113	2.5567e-05
114	2.4356e-05
115	2.3202e-05
116	2.21024e-05
117	2.10546e-05
118	2.00561e-05
119	1.91048e-05
120	1.81984e-05
121	1.73348e-05
122	1.65119e-05
123	1.5728e-05
124	1.49811e-05
125	1.42696e-05
126	1.35917e-05
127	1.29459e-05
128	1.23307e-05
129	1.17447e-05
130	1.11864e-05
131	1.06546e-05
132	1.0148e-05
133	9.66543e-06
134	9.20575e-06
135	8.76789e-06
136	8.3508e-06
137	7.95352e-06
138	7.57511e-06
139	7.21467e-06
140	6.87135e-06
141	6.54434e-06
142	6.23287e-06
143	5.9362e-06
144	5.65364e-06
145	5.38451e-06
146	5.12817e-06
147	4.88403e-06
148	4.6515e-06
149	4.43002e-06
150	4.21909e-06
151	4.01819e-06
152	3.82684e-06
153	3.6446e-06
154	3.47104e-06
155	3.30573e-06
156	3.1483e-06
157	2.99836e-06
158	2.85555e-06
159	2.71954e-06
160	2.59001e-06
161	2.46665e-06
162	2.34915e-06
163	2.23726e-06
164	2.13069e-06
165	2.0292e-06
166	1.93254e-06
167	1.84048e-06
168	1.75281e-06
169	1.66932e-06
170	1.5898e-06
171	1.51406e-06
172	1.44194e-06
173	1.37325e-06
174	1.30784e-06
175	1.24553e-06
176	1.1862e-06
177	1.12969e-06
178	1.07588e-06
179	1.02463e-06
180	9.7582e-07
